Time,Date,Collection,Latitude,Longitude,Operator,Data Technology,Data Technology Reporting,RAN Configuration,DL Carriers PDSCH,DL Bandwidth,LTE Net PDSCH Throughput,BLER,TB Size,Subframes,RBs,RB per Subframe,MCS,Modulation (Based on MCS),Max PDSCH Layers,Avg PDSCH Layers,1 Retransmission,2 Retransmissions,3 Retransmissions,Test Name,Direction,Test Status
2025-02-24 18:13:01.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637700,-94.18419700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.024,0,28.2,8,36,4,4.4,QPSK,4,2.5,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:02.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638300,-94.18423600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.864,0,16.2,4,16,4,0.5,QPSK,4,3.3,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:02.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638300,-94.18423600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,3.28,0,41,3,16,5,1,QPSK,1,1,0.33333334,0,0,Ping,Mixed,Completed
2025-02-24 18:13:02.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638300,-94.18423600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.88,0,11,3,12,4,0,QPSK,4,3,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:03.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637700,-94.18423600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,2.096,0.4,70.2,5,20,4,4.2,QPSK,1,1,0.2,0,0,Ping,Mixed,Completed
2025-02-24 18:13:04.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639100,-94.18425300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.872,0,49,2,20,10,0.5,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:05.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640200,-94.18425700,T-Mobile,LTE,LTE,LTE,1,20,2.312,0.125,56,8,48,6,1.5,QPSK,4,2.9,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:06.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638200,-94.18426200,T-Mobile,LTE,LTE,5G EN-DC,1,20,1.648,0,61.7,3,36,12,0.7,QPSK,4,3,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:06.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637700,-94.18428500,T-Mobile,LTE,LTE,5G EN-DC,1,20,0,1,117,1,34,34,0,QPSK,4,4,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:07.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637100,-94.18430700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.736,0,11,5,20,4,0,QPSK,4,2.8,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:08.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637200,-94.18432400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,62.704,0.222,434.1,8,440,54,4.9,16QAM,2,1.1,0.11111111,0,0.11111111,Capacity,Downlink,Failed
2025-02-24 18:13:13.795,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638200,-94.18438200,T-Mobile,LTE,LTE,5G EN-DC,1,20,0,,,0,,,,64QAM,,,,,,Capacity,Uplink,Failed
2025-02-24 18:13:13.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638200,-94.18438200,T-Mobile,LTE,LTE,LTE,1,20,2.936,0,11,1,4,4,0,QPSK,1,1,0,0,0,Capacity,Uplink,Failed
2025-02-24 18:13:14.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637500,-94.18438600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,5.464,0,68.3,3,12,4,4,QPSK,1,1,0,0,0,Capacity,Uplink,Failed
2025-02-24 18:13:14.681,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637500,-94.18438600,T-Mobile,LTE CA,LTE 3CCA,5G EN-DC,3,30,296.416,0.055999998,385.2,54,951,23,4,QPSK,6,1.4,0.09259259,0,0,Capacity,Uplink,Failed
2025-02-24 18:13:20.084,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640200,-94.18445500,T-Mobile,LTE,LTE,5G EN-DC,1,20,0,,,0,,,,64QAM,,,,,,Ping,Mixed,Completed
2025-02-24 18:13:20.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639900,-94.18444300,T-Mobile,LTE,LTE,5G EN-DC,1,20,21.856,0.5,246.5,3,32,7,3.5,QPSK,4,2,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:21.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639900,-94.18444300,T-Mobile,LTE,LTE,LTE,1,20,1.096,0,41,3,16,5,1,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:21.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639500,-94.18442500,T-Mobile,LTE,LTE,5G EN-DC,1,20,0,1,878,1,28,14,13.5,64QAM,3,3,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:22.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638800,-94.18441900,T-Mobile,LTE,LTE,5G EN-DC,1,20,1.696,0,42.3,3,20,7,0.7,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:23.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638400,-94.18440800,T-Mobile,LTE,LTE,5G EN-DC,1,20,1.128,0,42.3,3,20,7,0.7,QPSK,4,4,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:24.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18439400,T-Mobile,LTE,LTE,5G EN-DC,1,20,1.128,0,42.3,3,20,7,0.7,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:24.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636300,-94.18438100,T-Mobile,LTE,LTE,5G EN-DC,1,20,0.064,0,7,1,4,4,1,QPSK,4,4,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:25.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636000,-94.18437100,T-Mobile,LTE,LTE,LTE,1,20,3.384,0,42.3,3,20,7,0.7,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:26.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19635900,-94.18435900,T-Mobile,LTE,LTE,5G EN-DC,1,20,0.872,0,49,2,20,10,0.5,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:26.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19635900,-94.18435900,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.296,0,11,2,8,4,0,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:27.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19635900,-94.18435900,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.88,0,11,3,12,4,0,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:27.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18436300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,2.584,0,97,1,4,4,6,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:28.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637100,-94.18436300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,1.256,0,28.2,5,20,4,1.2,QPSK,4,2.2,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:29.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18436200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.936,0,28.2,5,44,9,0,QPSK,4,4,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:29.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18436200,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,2.056,0.125,70.2,8,65,8,0.8,QPSK,4,1.4,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:30.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18436400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,298.896,0.053000003,599.3,38,792,21,4.7,QPSK,4,1.3,0.05263158,0.02631579,0,Capacity,Downlink,Failed
2025-02-24 18:13:30.761,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18436400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,394.88,0.108,731.4,37,672,18,6.9,QPSK,1,1,0.16216215,0.027027028,0,Capacity,Downlink,Failed
2025-02-24 18:13:31.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637000,-94.18436200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,10.384,0,28.7,21,84,4,1.2,QPSK,1,1,0.04761905,0.04761905,0,Capacity,Downlink,Failed
2025-02-24 18:13:31.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637000,-94.18436200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,143.544,0.024,260.6,42,620,15,3.1,QPSK,1,1,0.04761905,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:32.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637800,-94.18436800,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,241.424,0,431,21,452,22,3.1,QPSK,1,1,0.14285715,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:32.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637800,-94.18436800,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,102.464,0,256.2,30,436,15,1.4,QPSK,4,1.1,0.033333335,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:33.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637800,-94.18436800,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,12.744,0.067,44.7,15,60,4,2.4,QPSK,1,1,0.06666667,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:33.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638200,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,8.544,0,20.7,31,124,4,0.7,QPSK,4,1.2,0.16129032,0.032258064,0,Capacity,Downlink,Failed
2025-02-24 18:13:33.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638200,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.816,0,22.5,13,52,4,0.8,QPSK,1,1,0.15384616,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:34.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638300,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,9.416,0.077,257.1,25,240,7,1.6,QPSK,4,1.1,0.03846154,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:34.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638300,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,8.24,0,23.8,13,52,4,0.9,QPSK,1,1,0.07692308,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:35.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638500,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.736,0,24.2,24,96,4,1,QPSK,4,1.3,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:35.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638500,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,13.256,0,33.1,15,60,4,1.6,QPSK,1,1,0.06666667,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:36.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638600,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,10.576,0.033,32.9,30,120,4,1.6,QPSK,4,1.1,0.16666667,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:36.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638600,-94.18437400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,11.808,0,34.1,13,52,4,1.7,QPSK,4,1.2,0.07692308,0,0.07692308,Capacity,Downlink,Failed
2025-02-24 18:13:37.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638800,-94.18438200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.544,0,21.8,26,104,4,0.8,QPSK,1,1,0.15384616,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:37.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638800,-94.18438200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.52,0,23.5,12,48,4,0.9,QPSK,1,1,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:38.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638900,-94.18438600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,12.304,0.038,42.3,26,104,4,2.3,QPSK,1,1,0.03846154,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:38.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638900,-94.18438600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.856,0,19.8,13,52,4,0.6,QPSK,1,1,0.07692308,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:39.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638900,-94.18438600,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,7.056,0,19.6,27,108,4,0.6,QPSK,1,1,0.074074075,0.037037037,0,Capacity,Downlink,Failed
2025-02-24 18:13:39.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639100,-94.18438800,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,10.024,0,31.3,12,48,4,1.4,QPSK,1,1,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:39.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639100,-94.18438800,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,12.504,0.25,91.2,32,156,4,3.6,QPSK,3,1.3,0.083333336,0.027777778,0,Capacity,Downlink,Failed
2025-02-24 18:13:40.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639200,-94.18438600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.56,0,20.5,12,48,4,0.7,QPSK,1,1,0,0,0,Capacity,Downlink,Failed
2025-02-24 18:13:45.567,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639700,-94.18439400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0,,,0,,,,64QAM,,,,,,Capacity,Uplink,Completed
2025-02-24 18:13:45.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639700,-94.18439400,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,4.552,0,11,3,12,4,0,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:45.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639700,-94.18439400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,5.576,0,17.4,12,48,4,0.5,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:46.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639700,-94.18439400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,4.44,0,15.9,21,84,4,0.3,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:46.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639700,-94.18439400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.304,0.077,32.8,13,52,4,1.5,QPSK,1,1,0.15384616,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:47.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440000,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,13,0.031,34.9,32,128,4,1.7,QPSK,1,1,0.0625,0,0.03125,Capacity,Uplink,Completed
2025-02-24 18:13:47.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440000,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.536,0,18.8,13,52,4,0.5,QPSK,4,1.5,0.07692308,0.07692308,0,Capacity,Uplink,Completed
2025-02-24 18:13:48.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640100,-94.18440200,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,5.816,0,18.2,24,96,4,0.5,QPSK,1,1,0.041666668,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:48.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640100,-94.18440200,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.104,0,17.6,13,52,4,0.5,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:49.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,9.064,0,26.2,26,104,4,1.1,QPSK,1,1,0.115384616,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:49.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,7.944,0.077,23.9,13,50,4,1.2,QPSK,4,1.2,0.07692308,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:50.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639800,-94.18440400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,11.32,0,29.3,29,116,4,1.3,QPSK,4,1.1,0.06896552,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:50.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639800,-94.18440400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,18.528,0.062,54.5,16,64,4,3.1,QPSK,4,1.6,0.0625,0.125,0,Capacity,Uplink,Completed
2025-02-24 18:13:51.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639800,-94.18440400,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,9.12,0,25.3,27,132,5,0.6,QPSK,4,1.4,0.11111111,0.037037037,0,Capacity,Uplink,Completed
2025-02-24 18:13:51.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639800,-94.18440300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,15.68,0.062,45.6,16,144,9,1.2,QPSK,1,1,0.0625,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:51.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19639800,-94.18440300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,24.376,0,61,30,468,16,0.5,QPSK,1,1,0.16666667,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:52.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,0.584,0,11,2,8,4,0,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:52.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,5.896,0,20.1,22,88,4,0.7,QPSK,4,1.4,0.045454547,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:53.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.96,0.055999998,15.1,16,72,4,0.3,QPSK,2,1.1,0.055555556,0.055555556,0,Capacity,Uplink,Completed
2025-02-24 18:13:53.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,4.8,0,13.8,26,104,4,0.2,QPSK,1,1,0.03846154,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:54.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,5.784,0.071,21.6,14,56,4,0.7,QPSK,1,1,0.071428575,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:54.625,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440700,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.696,0,19.3,26,104,4,0.6,QPSK,1,1,0.07692308,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:54.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440700,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,8.696,0,23.3,14,56,4,0.9,QPSK,1,1,0.071428575,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:55.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,6.104,0,17.6,26,104,4,0.5,QPSK,1,1,0.07692308,0,0,Capacity,Uplink,Completed
2025-02-24 18:13:55.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,5.816,0,18.2,12,48,4,0.5,QPSK,1,1,0,0.083333336,0,Capacity,Uplink,Completed
2025-02-24 18:13:56.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640000,-94.18440500,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,20,20.264,0.03,50.7,33,232,7,1.3,QPSK,1,1,0.030303031,0.030303031,0,Capacity,Uplink,Completed
2025-02-24 18:14:01.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640300,-94.18440800,T-Mobile,LTE,LTE,5G EN-DC,1,20,0.816,0,41,3,16,5,1,QPSK,1,1,0,0,0,Ping,Mixed,Completed
